,,,,
TIPO DE POBLACION,HOMBRES,MUJERES,TOTAL,%
Total de población vigente,99.513,11.548,111.061,100
Subsistema Cerrado,44.462,3.574,48.036,43.25
Régimen de control cerrado,40.079,3.132,43.211,38.91
Detenidos,37,10,47,0.04
Procesados,15,0,15,0.01
Imputados,14.475,1.570.,16.045,14.45
Condenados 24 hrs,25.552,1.552,27.104,24.4
Condenados en sección juvenil,35,0,35,0.03
CondenadosExpulsión Art.34 Ley N°.18.216,187,63,250,0.23
Condenados en C.E.T. Cerrado,797,106,903,0.81
Condenados 24 hrs. n.c.p.,24.533,1.383,25.916,23.33
REGIMEN DE CONTROL SEMIABIERTO,458,103,561,0.51
Condenados en C.E.T. Semiabierto,458,103,561,0.51
REGIMEN DE CONTROL ABIERTO,3.925,339,4.264,3.84
BENEFICIOS DE REINSERCIÓN,3.713,330,4.043,3.64
Salida Controlada al Medio Libre,222,25,247,0.22
Libertad Condicional,3.491,305,3.796,3.42
APREMIOS,212,9,221,0.2
Arresto Diurno,2,0,2,0
Arresto Nocturno,210,9,219,0.2
SUBSISTEMA ABIERTO,55.051,7.974,63.025,56.75
LEY 18.216,55.023,7.967,62.99,56.72
MEDIDAS ALTERNATIVAS,900,79,979,0.88
Remisión Condicional de la Pena,700,66,766,0.69
Libertad Vigilada del Adulto,138,11,149,0.13
Reclusión Nocturna,62,2,64,0.06
PENAS SUSTITUTIVAS,54.123,7.888,62.011,55.84
Remisión Condicional,28.093,3.864,31.957,28.77
Libertad Vigilada,874,297,1.171,1.05
Libertad Vigilada Intensiva,15.077,2.560.,17.637,15.88
Reclusión Parcial,5.836,480,6.316,5.69
Reclusión Parcial en establecimiento,537,34,571,0.51
Reclusión Parcial en domicilio con control de Carabineros de Chile,988,41,1.029,0.93
Reclusión Parcial en domicilio con Monitoreo Telemático,4.311,405,4.716,4.25
Prestación de Servicio en Beneficio de la Comunidad,4.243,687,4.930.,4.44
INDULTO LEY N°21.228,28,7,35,0.03
"Reclusión Domiciliaria Total (Condenados) ARTS. 1,2,3 Y 11( Párrafo 1)",9,2,11,0.01
Reclusión Domiciliaria Total (Condenados) ART. 11( Párrafo 2),1,2,3,0
Reclusión Domiciliaria Nocturna (Condenados) ART. 5,15,3,18,0.02
Reclusión Domiciliaria Nocturna (Penados RN Y RPN en estab.) ART.4,3,0,3,0
