fecha,region,establecimiento,administracion,subsistema,regimen_control,tipo_poblacion,poblacion,sexo,atendidos
31/08/2024,Región de Valparaíso,C.R.S. Los Andes,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Mujer,1
31/08/2024,Región Metropolitana,C.R.S. Santiago Sur,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Mujer,1
31/08/2024,Región de Valparaíso,C.R.S. San Antonio,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Mujer,1
31/08/2024,Región de Valparaíso,C.R.S. Quilpué,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Mujer,1
31/08/2024,Región de Atacama,C.R.S. Vallenar,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Mujer,1
31/08/2024,Región de Antofagasta,C.R.S. Calama,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Mujer,1
31/08/2024,Región de Valparaíso,C.R.S. Quillota,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Mujer,1
31/08/2024,Región de Antofagasta,C.R.S. Antofagasta,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Mujer,1
31/08/2024,Región del Libertador Bernardo O'Higgins,C.R.S. San Fernando,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Hombre,1
31/08/2024,Región del Biobío,C.R.S. Coronel,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Hombre,1
31/08/2024,Región del Biobío,C.R.S. Cañete,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Hombre,1
31/08/2024,Región del Maule,C.R.S. Cauquenes,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Hombre,1
31/08/2024,Región de Valparaíso,C.R.S. Quillota,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
31/08/2024,Región del Libertador Bernardo O'Higgins,C.R.S. Rancagua,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
31/08/2024,Región de la Araucanía,C.R.S. Angol,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
31/08/2024,Región del Biobío,C.R.S. Los Ángeles,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
31/08/2024,Región de Valparaíso,C.R.S. Valparaíso,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
31/08/2024,Región de Coquimbo,C.R.S. La Serena,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
31/08/2024,Región de Valparaíso,C.R.S. San Antonio,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
31/08/2024,Región del Biobío,C.R.S. Coronel,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
31/08/2024,Región de Aysén del General Carlos Ibáñez del Campo,C.R.S. Coyhaique,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
31/08/2024,Región Metropolitana,C.R.S. Santiago Oriente,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
31/08/2024,Región de Los Ríos,C.R.S. Valdivia,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
31/08/2024,Región del Maule,C.R.S. Curicó,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
31/08/2024,Región de la Araucanía,C.D.P. Traiguén,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial Nocturna (Pena Sustitutiva),Hombre,1
31/08/2024,Región de Valparaíso,C.C.P. Los Andes,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial Nocturna (Pena Sustitutiva),Hombre,1
31/08/2024,Región de Los Lagos,Anexo C.D.P. Chaitén,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial Nocturna (Pena Sustitutiva),Hombre,1
31/08/2024,Región de la Araucanía,C.C.P. Nueva Imperial,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial Nocturna (Pena Sustitutiva),Hombre,1
